bhid,dip,azim,depth
L11,0.000,151.000,0.000
L16-N1,0.000,-28.000,0.000
L16-N10,0.000,-24.000,0.000
L16-N2,0.000,156.000,0.000
L16-N3,0.000,-29.000,0.000
L16-N4,0.000,-23.000,0.000
L16-N4a,0.000,161.000,0.000
L16-N5,0.000,156.000,0.000
L16-N6,0.000,-19.000,0.000
L16-N7,0.000,152.000,0.000
L16-N8,0.000,-16.000,0.000
L16-N9,0.000,155.000,0.000
L17-N3,0.000,150.000,0.000
L17-N5,0.000,146.000,0.000
L17-N6,0.000,-38.000,0.000
L17-N8,0.000,-25.000,0.000
L22,0.000,-29.000,0.000
L4-N1,0.000,-40.000,0.000
L4-N2,0.000,162.000,0.000
L4-N3,0.000,-20.000,0.000
L4-N4,0.000,153.000,0.000
L9-N1,0.000,143.000,0.000
L9-N11,0.000,-24.000,0.000
L9-N12,0.000,150.000,0.000
L9-N13,0.000,-19.000,0.000
L9-N14,0.000,162.000,0.000
L9-N15,0.000,-20.000,0.000
L9-N16,0.000,161.000,0.000
L9-N17,0.000,-26.000,0.000
L9-N18,0.000,154.000,0.000
L9-N19,0.000,-27.000,0.000
L9-N1a,0.000,145.000,0.000
L9-N2,0.000,-32.000,0.000
L9-N20,0.000,152.000,0.000
L9-N2a,0.000,-35.000,0.000
L9-N3,0.000,-28.000,0.000
L9-N4,0.000,152.000,0.000
L9-N5,0.000,-30.000,0.000
L9-N7,0.000,-25.000,0.000
L9-N8,0.000,155.000,0.000
L9-N9,0.000,-24.000,0.000
LK010,-76.500,148.000,0.000
LK010,-76.500,148.000,4.000
LK010,-75.667,148.000,14.000
LK010,-75.333,148.000,24.000
LK010,-75.000,148.000,34.000
LK010,-74.500,150.000,44.000
LK010,-74.500,145.000,54.000
LK010,-74.250,140.000,64.000
LK010,-74.000,150.000,74.000
LK010,-73.250,154.000,84.000
LK010,-72.500,155.000,94.000
LK010,-71.750,158.000,104.000
LK010,-71.250,160.000,114.000
LK010,-71.000,161.000,124.000
LK010,-70.500,160.000,134.000
LK010,-70.000,160.000,144.000
LK010,-67.667,160.000,154.000
LK010,-65.250,160.000,164.000
LK010,-62.500,160.000,174.000
LK010,-60.500,160.000,184.000
LK011,-84.583,154.000,0.000
LK011,-84.583,154.000,1.000
LK011,-75.000,150.000,2.000
LK011,-74.750,145.000,10.000
LK011,-84.500,154.000,14.000
LK011,-74.500,146.000,20.000
LK011,-84.500,154.000,24.000
LK011,-73.833,150.000,30.000
LK011,-84.417,154.000,34.000
LK011,-70.000,148.000,40.000
LK011,-84.000,154.000,44.000
LK011,-69.500,147.000,50.000
LK011,-83.333,160.000,54.000
LK011,-88.500,149.000,60.000
LK011,-83.500,159.000,64.000
LK011,-67.500,150.000,70.000
LK011,-83.500,158.000,74.000
LK011,-67.167,150.000,80.000
LK011,-83.417,160.000,84.000
LK011,-65.333,154.000,90.000
LK011,-83.667,158.000,94.000
LK011,-63.333,155.000,100.000
LK011,-82.667,158.000,104.000
LK011,-60.000,152.000,110.000
LK011,-83.250,157.000,114.000
LK011,-58.833,150.000,120.000
LK011,-83.750,158.000,124.000
LK011,-58.000,150.000,130.000
LK011,-82.000,155.000,136.000
LK011,-58.000,150.000,138.000
LK011,-82.000,155.000,146.000
LK011,-81.000,155.000,156.000
LK011,-80.833,157.000,166.000
LK011,-80.667,153.000,176.000
LK011,-80.333,155.000,186.000
LK011,-80.000,158.000,196.000
LK011,-80.750,155.000,206.000
LK011,-80.833,158.000,216.000
LK011,-81.833,158.000,226.000
LK011,-81.750,165.000,236.000
LK011,-81.750,165.000,242.000
LK011,-80.000,165.000,249.000
LK011,-79.000,165.000,276.000
LK011,-78.000,165.000,304.000
LK011,-74.000,165.000,324.000
LK012,-75.000,164.000,0.000
LK012,-75.000,164.000,1.000
LK012,-70.000,164.000,25.000
LK012,-72.000,164.000,50.000
LK012,-71.000,164.000,75.000
LK012,-72.000,164.000,95.000
LK012,-66.000,164.000,123.000
LK012,-60.000,164.000,151.000
LK013,-75.000,170.000,0.000
LK013,-75.000,170.000,1.000
LK013,-72.000,170.000,50.000
LK013,-71.000,170.000,75.000
LK013,-67.000,170.000,100.000
LK013,-65.000,170.000,128.000
LK013,-60.000,170.000,150.000
LK013,-58.000,170.000,175.000
LK013,-56.000,170.000,195.000
LK013,-52.000,170.000,260.000
LK040,-78.000,137.000,0.000
LK040,-78.000,137.000,1.000
LK040,-78.000,137.000,14.000
LK040,-78.000,155.000,24.000
LK040,-76.000,160.000,34.000
LK040,-76.000,162.000,44.000
LK040,-75.500,160.000,54.000
LK040,-75.000,163.000,64.000
LK040,-74.000,165.000,74.000
LK040,-73.167,165.000,84.000
LK040,-72.833,162.000,94.000
LK040,-72.000,161.000,104.000
LK040,-71.833,160.000,114.000
LK040,-70.833,162.000,124.000
LK040,-70.250,162.000,134.000
LK040,-70.000,162.000,144.000
LK040,-68.750,160.000,154.000
LK040,-67.750,160.000,164.000
LK040,-67.250,163.000,174.000
LK040,-65.000,165.000,184.000
LK040,-63.333,166.000,194.000
LK040,-61.000,167.000,204.000
LK040,-58.500,161.000,214.000
LK040,-52.000,170.000,224.000
LK040,-52.333,170.000,234.000
LK040,-49.500,176.000,244.000
LK040,-43.000,180.000,254.000
LK040,-40.000,185.000,258.000
LK042,-73.667,150.000,0.000
LK042,-73.667,150.000,2.000
LK042,-73.500,127.000,10.000
LK042,-73.000,127.000,20.000
LK042,-72.750,127.000,30.000
LK042,-72.750,127.000,40.000
LK042,-72.250,145.000,50.000
LK042,-71.600,146.000,60.000
LK042,-70.750,145.000,70.000
LK042,-68.833,144.000,80.000
LK042,-67.500,142.000,90.000
LK042,-67.500,142.000,100.000
LK042,-66.500,146.000,110.000
LK042,-64.250,148.000,120.000
LK042,-62.250,150.000,130.000
LK042,-60.750,154.000,140.000
LK042,-59.000,154.000,150.000
LK042,-57.167,155.000,160.000
LK042,-55.833,156.000,170.000
LK042,-55.667,160.000,180.000
LK042,-55.000,157.000,190.000
LK042,-54.500,161.000,200.000
LK042,-53.833,165.000,210.000
LK042,-53.500,151.000,220.000
LK042,-51.833,161.000,230.000
LK042,-50.000,165.000,238.000
LK042,-52.333,201.000,344.000
LK043,-78.000,155.000,0.000
LK043,-78.000,155.000,8.000
LK043,-77.500,155.000,18.000
LK043,-76.833,155.000,28.000
LK043,-76.000,157.000,38.000
LK043,-75.333,153.000,48.000
LK043,-74.000,162.000,58.000
LK043,-72.500,165.000,68.000
LK043,-71.333,170.000,78.000
LK043,-70.500,170.000,88.000
LK043,-70.000,166.000,96.000
LK043,-68.000,167.000,112.000
LK043,-66.500,170.000,123.000
LK043,-63.833,170.000,138.000
LK043,-63.000,167.000,148.000
LK043,-60.000,171.000,161.000
LK043,-58.500,175.000,171.000
LK043,-57.250,175.000,179.000
LK043,-56.000,175.000,189.000
LK043,-53.417,178.000,199.000
LK043,-51.667,187.000,209.000
LK043,-46.833,185.000,219.000
LK043,-46.500,192.000,229.000
LK043,-44.333,190.000,239.000
LK043,-42.500,190.000,249.000
LK043,-40.000,170.000,259.000
LK043,-40.000,170.000,265.000
LK044,-77.833,134.000,0.000
LK044,-77.833,134.000,1.000
LK044,-77.083,134.000,9.000
LK044,-75.417,134.000,19.000
LK044,-75.083,161.000,29.000
LK044,-74.583,157.000,39.000
LK044,-74.417,160.000,49.000
LK044,-74.750,161.000,59.000
LK044,-73.917,161.000,69.000
LK044,-73.417,162.000,79.000
LK044,-73.333,164.000,89.000
LK044,-73.250,163.000,99.000
LK044,-72.667,164.000,109.000
LK044,-72.417,164.000,119.000
LK044,-72.000,164.000,129.000
LK044,-71.417,166.000,139.000
LK044,-71.167,167.000,149.000
LK044,-70.833,167.000,159.000
LK044,-70.667,169.000,169.000
LK044,-70.750,170.000,179.000
LK044,-70.500,172.000,193.000
LK044,-70.167,172.000,203.000
LK044,-69.500,171.000,213.000
LK044,-68.500,172.000,223.000
LK044,-67.750,170.000,233.000
LK044,-67.417,175.000,239.000
LK044,-66.667,174.000,249.000
LK044,-66.000,174.000,259.000
LK044,-52.500,178.000,262.000
LK044,-63.833,177.000,269.000
LK044,-63.250,173.000,282.000
LK044,-62.250,172.000,292.000
LK044,-61.250,175.000,302.000
LK044,-61.000,174.000,312.000
LK044,-60.000,175.000,322.000
LK044,-58.000,176.000,332.000
LK044,-56.000,177.000,342.000
LK044,-54.750,177.000,352.000
LK044,-49.000,179.000,372.000
LK044,-47.500,181.000,382.000
LK044,-46.000,182.000,388.000
LK045e,-78.667,153.000,0.000
LK045e,-78.667,153.000,3.000
LK045e,-78.500,153.000,13.000
LK045e,-77.833,153.000,23.000
LK045e,-76.500,153.000,33.000
LK045e,-75.500,153.000,43.000
LK045e,-74.500,153.000,53.000
LK045e,-74.000,155.000,63.000
LK045e,-73.833,155.000,73.000
LK045e,-73.667,155.000,83.000
LK045e,-73.000,156.000,93.000
LK045e,-73.500,157.000,100.000
LK045e,-73.500,164.000,110.000
LK045e,-73.500,162.000,120.000
LK045e,-72.667,165.000,130.000
LK045e,-72.500,167.000,140.000
LK045e,-71.000,162.000,150.000
LK045e,-68.833,163.000,160.000
LK045e,-69.167,164.000,170.000
LK045e,-68.500,165.000,180.000
LK045e,-67.333,167.000,190.000
LK045e,-66.167,167.000,200.000
LK045e,-65.500,170.000,210.000
LK045e,-64.167,174.000,220.000
LK045e,-63.000,173.000,230.000
LK045e,-61.833,170.000,240.000
LK045e,-60.333,172.000,250.000
LK045e,-59.333,172.000,260.000
LK045e,-56.833,171.000,270.000
LK045e,-55.000,173.000,280.000
LK047,-77.500,154.000,0.000
LK047,-77.500,154.000,1.000
LK047,-76.333,154.000,12.000
LK047,-76.333,154.000,22.000
LK047,-76.333,154.000,32.000
LK047,-75.833,157.000,42.000
LK047,-75.750,157.000,52.000
LK047,-75.500,158.000,62.000
LK047,-75.333,156.000,72.000
LK047,-74.833,155.000,82.000
LK047,-74.333,154.000,92.000
LK047,-74.000,155.000,102.000
LK047,-73.583,155.000,112.000
LK047,-73.000,158.000,122.000
LK047,-72.000,160.000,132.000
LK047,-71.667,162.000,142.000
LK047,-71.500,165.000,152.000
LK047,-71.000,166.000,162.000
LK047,-70.000,167.000,172.000
LK047,-69.500,172.000,182.000
LK047,-68.167,168.000,192.000
LK047,-61.500,170.000,204.000
LK047,-66.333,172.000,214.000
LK047,-65.500,174.000,224.000
LK047,-64.500,175.000,234.000
LK047,-63.000,177.000,244.000
LK047,-62.250,180.000,254.000
LK047,-61.750,185.000,264.000
LK047,-60.500,181.000,274.000
LK047,-57.500,190.000,284.000
LK047,-56.250,186.000,294.000
LK047,-54.750,190.000,304.000
LK047,-54.500,206.000,314.000
LK047,-54.000,201.000,324.000
LK047,-53.500,206.000,334.000
LK048,-73.500,146.000,0.000
LK048,-73.500,146.000,2.000
LK048,-73.250,146.000,12.000
LK048,-73.167,146.000,22.000
LK048,-73.167,146.000,32.000
LK048,-72.500,146.000,42.000
LK048,-71.500,147.000,52.000
LK048,-70.833,148.000,62.000
LK048,-70.667,148.000,72.000
LK048,-70.500,147.000,82.000
LK048,-70.333,147.000,92.000
LK048,-70.000,149.000,102.000
LK048,-69.667,150.000,112.000
LK048,-69.417,148.000,122.000
LK048,-68.667,147.000,132.000
LK048,-66.750,147.000,142.000
LK048,-62.500,146.000,152.000
LK048,-60.000,148.000,162.000
LK048,-58.750,149.000,172.000
LK048,-56.917,150.000,182.000
LK048,-55.750,150.000,192.000
LK048,-53.500,150.000,202.000
LK048,-52.500,150.000,212.000
LK048,-51.250,150.000,222.000
LK048,-51.000,150.000,232.000
LK048,-49.500,153.000,242.000
LK048,-46.333,153.000,252.000
LK060,-77.500,145.000,0.000
LK060,-77.500,145.000,10.000
LK060,-76.167,145.000,20.000
LK060,-76.000,144.000,30.000
LK060,-75.750,144.000,40.000
LK060,-75.500,142.000,50.000
LK060,-74.167,148.000,60.000
LK060,-73.167,147.000,70.000
LK060,-72.000,145.000,80.000
LK060,-71.167,147.000,90.000
LK060,-70.667,147.000,100.000
LK060,-70.500,148.000,110.000
LK060,-69.750,149.000,120.000
LK060,-69.333,150.000,130.000
LK060,-69.333,154.000,140.000
LK060,-68.750,154.000,150.000
LK060,-68.167,152.000,160.000
LK060,-67.500,159.000,170.000
LK060,-65.500,154.000,180.000
LK060,-65.500,155.000,190.000
LK060,-65.000,156.000,200.000
LK060,-63.750,157.000,210.000
LK060,-63.333,161.000,220.000
LK060,-61.500,161.000,230.000
LK060,-60.333,163.000,240.000
LK060,-58.333,164.000,250.000
LK060,-57.750,169.000,260.000
LK060,-57.000,167.000,270.000
LK060,-54.667,172.000,280.000
LK060,-54.000,172.000,290.000
LK060,-53.333,173.000,300.000
LK060,-52.250,175.000,310.000
LK060,-51.667,177.000,320.000
LK060,-50.000,174.000,330.000
LK060,-47.000,172.000,340.000
LK060,-48.833,175.000,350.000
LK060,-45.833,175.000,360.000
LK060,-43.750,177.000,370.000
LK060,-40.000,177.000,380.000
LK060,-40.250,178.000,390.000
LK060,-40.333,173.000,400.000
LK060,-40.333,178.000,410.000
LK060,-40.500,177.000,420.000
LK060,-40.167,179.000,430.000
LK071,-76.000,150.000,0.000
LK071,-76.000,150.000,25.000
LK071,-75.000,155.000,50.000
LK071,-75.000,155.000,60.000
LK071,-74.667,156.000,70.000
LK071,-74.083,157.000,80.000
LK071,-73.583,159.000,90.000
LK071,-73.417,160.000,100.000
LK071,-72.333,159.000,110.000
LK071,-71.000,159.000,124.000
LK071,-70.000,160.000,134.000
LK071,-67.417,160.000,144.000
LK071,-61.417,154.000,150.000
LK071,-67.167,155.000,160.000
LK071,-67.000,156.000,170.000
LK071,-66.500,152.000,180.000
LK071,-66.167,154.000,190.000
LK071,-65.000,156.000,200.000
LK071,-64.500,158.000,210.000
LK071,-64.000,160.000,220.000
LK071,-63.583,159.000,230.000
LK071,-63.000,158.000,240.000
LK071,-62.667,158.000,250.000
LK071,-60.750,158.000,261.000
LK083,-74.333,156.000,0.000
LK083,-74.333,156.000,1.000
LK083,-73.083,156.000,13.000
LK083,-72.750,155.000,23.000
LK083,-72.333,153.000,33.000
LK083,-72.417,153.000,43.000
LK083,-71.583,157.000,53.000
LK083,-71.417,158.000,63.000
LK083,-70.833,157.000,73.000
LK083,-70.417,158.000,83.000
LK083,-69.083,159.000,93.000
LK083,-69.167,160.000,103.000
LK083,-88.417,170.000,112.000
LK083,-68.000,160.000,122.000
LK083,-67.000,157.000,130.000
LK083,-67.000,155.000,140.000
LK083,-66.750,157.000,150.000
LK083,-65.000,157.000,160.000
LK083,-63.750,157.000,169.000
LK086,-64.500,145.000,0.000
LK086,-64.500,145.000,1.000
LK086,-62.833,145.000,12.000
LK086,-61.750,145.000,22.000
LK086,-61.000,149.000,32.000
LK086,-60.500,149.000,42.000
LK086,-59.333,148.000,52.000
LK086,-58.000,151.000,62.000
LK086,-56.833,152.000,72.000
LK086,-56.250,153.000,82.000
LK086,-55.750,155.000,92.000
LK086,-55.333,155.000,102.000
LK086,-54.667,154.000,112.000
LK086,-53.667,152.000,122.000
LK086,-53.000,151.000,132.000
LK086,-52.000,151.000,142.000
LK086,-50.750,150.000,152.000
LK086,-50.667,155.000,158.000
LK088,-74.750,157.000,0.000
LK088,-74.750,157.000,1.000
LK088,-74.833,157.000,11.000
LK088,-73.750,157.000,21.000
LK088,-73.500,157.000,31.000
LK088,-71.000,157.000,41.000
LK088,-70.500,157.000,51.000
LK088,-70.000,154.000,61.000
LK088,-68.167,156.000,71.000
LK088,-66.167,155.000,81.000
LK088,-65.167,158.000,91.000
LK088,-63.833,162.000,101.000
LK088,-63.333,161.000,111.000
LK088,-62.000,162.000,121.000
LK088,-61.000,163.000,131.000
LK088,-59.750,164.000,141.000
LK088,-59.167,165.000,151.000
LK088,-57.917,165.000,161.000
LK088,-56.000,168.000,171.000
LK088,-54.500,171.000,181.000
LK088,-52.000,173.000,191.000
LK088,-50.000,165.000,201.000
LK090,-78.333,149.000,0.000
LK090,-78.333,149.000,2.000
LK090,-77.750,149.000,10.000
LK090,-77.500,152.000,20.000
LK090,-77.167,154.000,30.000
LK090,-76.833,151.000,40.000
LK090,-75.667,154.000,50.000
LK090,-76.333,153.000,60.000
LK090,-75.000,153.000,70.000
LK090,-74.583,154.000,80.000
LK090,-74.250,155.000,90.000
LK090,-72.500,156.000,100.000
LK090,-71.500,157.000,110.000
LK090,-70.000,155.000,120.000
LK090,-70.000,155.000,130.000
LK090,-70.333,154.000,140.000
LK090,-70.000,154.000,150.000
LK090,-69.250,156.000,160.000
LK090,-68.500,155.000,170.000
LK090,-67.000,156.000,180.000
LK090,-67.167,155.000,190.000
LK090,-65.250,156.000,200.000
LK090,-63.500,155.000,210.000
LK090,-62.750,156.000,220.000
LK090,-60.000,157.000,230.000
LK090,-58.750,158.000,240.000
LK090,-58.250,159.000,250.000
LK090,-57.750,160.000,260.000
LK090,-58.333,158.000,270.000
LK090,-56.000,158.000,280.000
LK090,-54.333,161.000,290.000
LK090,-53.333,157.000,300.000
LK090,-50.500,166.000,310.000
LK090,-47.500,173.000,320.000
LK090,-45.750,172.000,330.000
LK090,-41.833,172.000,340.000
LK090,-40.000,171.000,350.000
LK090,-40.000,171.000,360.000
LK090,-40.000,170.000,370.000
LK091,-79.000,156.000,0.000
LK091,-79.000,156.000,1.000
LK091,-78.250,156.000,10.000
LK091,-76.750,156.000,20.000
LK091,-77.333,156.000,30.000
LK091,-75.417,155.000,40.000
LK091,-75.000,154.000,50.000
LK091,-74.500,156.000,60.000
LK091,-74.250,160.000,70.000
LK091,-74.000,168.000,80.000
LK091,-73.167,162.000,90.000
LK091,-72.933,164.000,100.000
LK091,-72.667,170.000,110.000
LK091,-72.333,160.000,120.000
LK091,-73.500,161.000,130.000
LK091,-71.500,167.000,140.000
LK091,-77.500,169.000,150.000
LK091,-71.333,170.000,160.000
LK091,-71.000,160.000,170.000
LK091,-70.750,170.000,180.000
LK091,-70.750,173.000,190.000
LK091,-70.000,168.000,200.000
LK091,-68.000,174.000,210.000
LK091,-67.750,180.000,220.000
LK091,-67.500,176.000,230.000
LK091,-67.750,178.000,240.000
LK091,-66.917,178.000,250.000
LK091,-66.250,183.000,260.000
LK091,-65.500,192.000,270.000
LK091,-64.750,193.000,280.000
LK091,-64.000,196.000,290.000
LK091,-63.167,198.000,300.000
LK091,-62.167,199.000,310.000
LK091,-62.083,192.000,320.000
LK091,-62.083,192.000,330.000
LK091,-60.000,194.000,340.000
LK091,-58.000,194.000,350.000
LK091,-57.250,194.000,360.000
LK091,-55.033,194.000,370.000
LK091,-53.333,195.000,380.000
LK091,-53.333,194.000,390.000
LK091,-50.333,195.000,400.000
LK091,-47.250,195.000,410.000
LK091,-42.333,200.000,420.000
LK091,-40.000,202.000,430.000
LK091,-40.000,204.000,440.000
LK091,-40.000,207.000,450.000
LK091,-40.000,209.000,460.000
LK091,-40.000,216.000,470.000
LK091,-40.000,232.000,476.000
LK110,-79.167,142.000,0.000
LK110,-79.167,142.000,1.000
LK110,-79.000,142.000,12.000
LK110,-78.500,142.000,22.000
LK110,-78.167,140.000,32.000
LK110,-77.000,141.000,42.000
LK110,-76.000,145.000,52.000
LK110,-75.000,145.000,62.000
LK110,-74.500,146.000,72.000
LK110,-75.167,146.000,81.000
LK110,-73.500,147.000,91.000
LK110,-73.333,149.000,101.000
LK110,-72.167,150.000,111.000
LK110,-69.750,150.000,121.000
LK110,-67.833,149.000,131.000
LK110,-66.500,150.000,141.000
LK110,-65.667,152.000,151.000
LK110,-64.750,153.000,161.000
LK110,-63.500,155.000,171.000
LK110,-61.833,155.000,181.000
LK110,-60.500,155.000,191.000
LK110,-59.833,156.000,201.000
LK110,-59.167,155.000,212.000
LK110,-58.000,154.000,222.000
LK110,-57.000,152.000,232.000
LK110,-55.000,153.000,242.000
LK110,-54.500,154.000,251.000
LK110,-53.333,156.000,261.000
LK110,-52.333,156.000,271.000
LK110,-50.250,155.000,281.000
LK110,-49.000,156.000,291.000
LK110,-49.000,157.000,295.000
LK111,-77.667,160.000,0.000
LK111,-77.667,160.000,2.000
LK111,-77.500,160.000,10.000
LK111,-75.500,160.000,20.000
LK111,-74.500,160.000,30.000
LK111,-74.000,160.000,40.000
LK111,-73.667,160.000,50.000
LK111,-73.500,160.000,60.000
LK111,-71.667,160.000,70.000
LK111,-69.833,160.000,80.000
LK111,-68.833,160.000,90.000
LK111,-67.667,163.000,100.000
LK111,-66.000,165.000,110.000
LK111,-65.333,165.000,120.000
LK111,-64.667,166.000,130.000
LK111,-64.500,169.000,140.000
LK111,-64.000,170.000,150.000
LK111,-62.667,172.000,160.000
LK131,-84.333,135.000,0.000
LK131,-84.333,135.000,3.000
LK131,-83.500,134.000,10.000
LK131,-84.000,134.000,20.000
LK131,-83.167,132.000,30.000
LK131,-83.500,142.000,40.000
LK131,-83.000,140.000,50.000
LK131,-83.333,138.000,60.000
LK131,-83.333,143.000,70.000
LK131,-83.667,138.000,80.000
LK131,-82.667,143.000,90.000
